Record #,Speaker,Session,Orthography,Child,start_seconds,end_seconds,Situation,GRASP,Morphology,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,TagType,ToAdults?,uttid
17,Mother,Naima020411,"&-um , so .",Naima,40.255,41.825,[],[1|0|INCROOT] [2|1|JCT 3|1|PUNCT],[cm|cm] [adv|so .],,,,,,,,,,MotherofNaima_Naima020411_17
18,Mother,Naima020411,we're about (t:t:self interruption),Naima,41.825,43.095,[],[1|2|SUBJ 2|0|ROOT] [3|2|JCT 4|2|PUNCT],[pro:sub|we~cop|be&PRES] [prep|about (mt:self interruption)],,,,,,,,,,MotherofNaima_Naima020411_18
19,Mother,Naima020411,three days late recording .,Naima,0.0,0.0,[],[1|2|QUANT] [2|4|MOD] [3|4|MOD] [4|0|INCROOT 5|4|PUNCT],[det:num|three] [n|day-PL] [adj|late] [n:gerund|record-PRESP .],,,,,,,,,,MotherofNaima_Naima020411_19
20,Naima,Naima020411,"yyy , yyy .",Naima,43.095,45.773,[],[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,NaimaofNaima_Naima020411_20
21,Mother,Naima020411,and have switched (t:t:trail off),Naima,45.773,47.495,[],[1|3|LINK] [2|3|AUX] [3|0|ROOT 4|3|PUNCT],[coord|and] [aux|have] [part|switch-PASTP (mt:trail off)],,,,,,,,,,MotherofNaima_Naima020411_21
22,Mother,Naima020411,batteries in the receiver and one of the transmitters .,Naima,47.598,50.7,[],[1|0|INCROOT] [2|1|JCT] [3|4|DET] [4|2|POBJ] [5|1|CONJ] [6|5|COORD] [7|6|NJCT] [8|9|DET] [9|7|POBJ 10|1|PUNCT],[n|battery-PL] [prep|in] [det:art|the] [n|receive&dv-AGT] [coord|and] [det:num|one] [prep|of] [det:art|the] [n|transmit&dv-AGT-PL .],,,,,,,,,,MotherofNaima_Naima020411_22
23,Naima,Naima020411,Mommy: .,Naima,50.7,53.833,[],[1|0|INCROOT 2|1|PUNCT],[n:prop|Mommy .],,,,,,,,,,NaimaofNaima_Naima020411_23
24,Mother,Naima020411,and not in the other transmitter .,Naima,0.0,0.0,[],[1|0|INCROOT] [2|1|NEG] [3|1|JCT] [4|6|DET] [5|6|QUANT] [6|3|POBJ 7|1|PUNCT],[coord|and] [neg|not] [prep|in] [det:art|the] [qn|other] [n|transmit&dv-AGT .],,,,,,,,,,MotherofNaima_Naima020411_24
25,Mother,Naima020411,cause (replacement:replacement:because) that seemed to be a problem .,Naima,0.0,0.0,[],[1|3|LINK] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|7|DET] [7|5|PRED 8|3|PUNCT],[conj|because] [pro:dem|that] [cop|seem-PAST] [inf|to] [cop|be] [det:art|a] [n|problem .],,,,,,,,,,MotherofNaima_Naima020411_25
26,Naima,Naima020411,xxx .,Naima,53.833,56.875,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_26
27,Naima,Naima020411,"{ Naima (?) } , the , the bear wants to come out .",Naima,56.875,59.999,Original Orthography: want < s >[],[1|7|LINK 2|1|LP] [3|6|DET 4|3|LP] [5|6|DET] [6|7|SUBJ] [7|0|ROOT] [8|9|INF] [9|7|XCOMP] [10|9|JCT 11|7|PUNCT],[n:prop|Naima cm|cm] [det:art|the cm|cm] [det:art|the] [n|bear] [v|want-3S] [inf|to] [v|come] [adv|out .],,,,,,,,,,NaimaofNaima_Naima020411_27
28,Mother,Naima020411,really ?,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[adv|real&dadj-LY ?],,,,,,,,,,MotherofNaima_Naima020411_28
29,Mother,Naima020411,I see more bear food here .,Naima,59.999,61.99,[],[1|2|SUBJ] [2|0|ROOT] [3|4|QUANT] [4|5|MOD] [5|2|OBJ] [6|2|JCT 7|2|PUNCT],[pro:sub|I] [v|see] [qn|more] [n|bear] [n|food] [adv|here .],,,,,,,,,,MotherofNaima_Naima020411_29
30,Naima,Naima020411,"the bear doesn't wanna eat her , her bear food .",Naima,61.99,65.848,[],[1|2|DET] [2|6|SUBJ] [3|6|AUX 4|3|NEG] [5|6|AUX] [6|0|ROOT 7|6|OBJ 8|6|LP] [9|11|MOD] [10|11|MOD] [11|6|OBJ 12|6|PUNCT],[det:art|the] [n|bear] [mod|do&3S~neg|not] [mod:aux|wanna] [v|eat pro:obj|her cm|cm] [det:poss|her] [n|bear] [n|food .],,,,,,,,,,NaimaofNaima_Naima020411_30
31,Mother,Naima020411,how (t:t:self interruption),Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[adv:int|how (mt:self interruption)],,,,,,,,,,MotherofNaima_Naima020411_31
32,Mother,Naima020411,how bout (replacement:replacement:about) yo<gurt> (t:t:self interruption),Naima,0.0,0.0,[],[1|0|INCROOT] [2|1|JCT] [3|2|POBJ 4|1|PUNCT],[adv:int|how] [prep|about] [n|yogurt (mt:self interruption)],,,,,,,,,,MotherofNaima_Naima020411_32
33,Mother,Naima020411,would you like yogurt to have with those almonds ?,Naima,65.848,67.57,[],[1|3|AUX] [2|3|SUBJ] [3|0|ROOT] [4|3|OBJ] [5|6|INF] [6|3|XCOMP] [7|6|JCT] [8|9|DET] [9|7|POBJ 10|3|PUNCT],[mod|will&COND] [pro:per|you] [v|like] [n|yogurt] [inf|to] [v|have] [prep|with] [pro:dem|those] [n|almond-PL ?],,,,,,,,,,MotherofNaima_Naima020411_33
34,Naima,Naima020411,no .,Naima,67.661,68.83,[],[1|0|INCROOT 2|1|PUNCT],[co|no .],,,,,,,,,,NaimaofNaima_Naima020411_34
35,Naima,Naima020411,yyy the bear wants to come out .,Naima,68.83,71.301,Original Orthography: want < s >[],[] [1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|5|INF] [5|3|XCOMP] [6|5|JCT 7|3|PUNCT],[] [det:art|the] [n|bear] [v|want-3S] [inf|to] [v|come] [adv|out .],,,,,,,,,,NaimaofNaima_Naima020411_35
36,Mother,Naima020411,how bout (replacement:replacement:about) so:me Oatios ?,Naima,71.301,75.0,[],[1|0|INCROOT] [2|1|JCT] [3|4|QUANT] [4|2|POBJ 5|1|PUNCT],[adv:int|how] [prep|about] [qn|some] [n:prop|Oatios ?],,,,,,,,,,MotherofNaima_Naima020411_36
37,Naima,Naima020411,no nah !,Naima,75.0,76.373,[],[1|2|COM] [2|0|INCROOT 3|2|PUNCT],[co|no] [co|nah !],,,,,,,,,,NaimaofNaima_Naima020411_37
38,Mother,Naima020411,how bout (replacement:replacement:about) so:me Kamut cake ?,Naima,76.373,78.291,[],[1|0|INCROOT] [2|1|JCT] [3|5|QUANT] [4|5|MOD] [5|2|POBJ 6|1|PUNCT],[adv:int|how] [prep|about] [qn|some] [n:prop|Kamut] [n|cake ?],,,,,,,,,,MotherofNaima_Naima020411_38
39,Naima,Naima020411,nah !,Naima,78.291,80.27799999999999,the vowel may be an unrounded o Original Orthography: [na:h !][],[1|0|INCROOT 2|1|PUNCT],[co|nah !],,,,,,,,,,NaimaofNaima_Naima020411_39
40,Mother,Naima020411,how bout (replacement:replacement:about) some cheese ?,Naima,80.27799999999999,81.273,[],[1|0|INCROOT] [2|1|JCT] [3|4|QUANT] [4|2|POBJ 5|1|PUNCT],[adv:int|how] [prep|about] [qn|some] [n|cheese ?],,,,,,,,,,MotherofNaima_Naima020411_40
41,Naima,Naima020411,nah .,Naima,81.273,82.643,[],[1|0|INCROOT 2|1|PUNCT],[co|nah .],,,,,,,,,,NaimaofNaima_Naima020411_41
42,Naima,Naima020411,yes .,Naima,82.643,84.21000000000001,[],[1|0|INCROOT 2|1|PUNCT],[co|yes .],,,,,,,,,,NaimaofNaima_Naima020411_42
43,Mother,Naima020411,alright !,Naima,0.0,0.0,[],[1|0|INCROOT 2|1|PUNCT],[co|alright !],,,,,,,,,,MotherofNaima_Naima020411_43
44,Naima,Naima020411,"yyy , bears like cheese .",Naima,84.41,88.291,[],[1|4|MOD] [2|4|MOD] [3|4|COM] [4|0|INCROOT 5|4|PUNCT],[cm|cm] [n|bear-PL] [co|like] [n|cheese .],,,,,,,,,,NaimaofNaima_Naima020411_44
45,Mother,Naima020411,"I think bears do like cheese , especially bear (t:t:interruption)",Naima,88.455,90.061,[],[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|9|COM] [6|9|MOD 7|6|LP] [8|9|JCT] [9|4|OBJ 10|2|PUNCT],[pro:sub|I] [v|think] [n|bear-PL] [v|do] [co|like] [n|cheese cm|cm] [adv|especial&dadj-LY] [n|bear (mt:interruption)],,,,,,,,,,MotherofNaima_Naima020411_45
46,Naima,Naima020411,I think yyy bears don't like cheese .,Naima,89.875,92.986,[],[1|2|SUBJ] [2|0|ROOT] [] [3|7|MOD] [4|6|AUX 5|4|NEG] [6|7|COM] [7|2|OBJ 8|2|PUNCT],[pro:sub|I] [v|think] [] [n|bear-PL] [mod|do~neg|not] [co|like] [n|cheese .],,,,,,,,,,NaimaofNaima_Naima020411_46
47,Mother,Naima020411,"I think bears do like cheese , especially bear cubs .",Naima,92.986,95.61,[],[1|2|SUBJ] [2|0|ROOT] [3|4|SUBJ] [4|2|COMP] [5|9|COM] [6|9|SUBJ 7|6|LP] [8|9|JCT] [9|4|COMP] [10|9|OBJ 11|2|PUNCT],[pro:sub|I] [v|think] [n|bear-PL] [v|do] [co|like] [n|cheese cm|cm] [adv|especial&dadj-LY] [v|bear] [n|cub-PL .],,,,,,,,,,MotherofNaima_Naima020411_47
48,Naima,Naima020411,"no a bicka@wp bicka@wp bear bicka@wp bear , bicka@wp bicka@wp bear , a bicka@wp bicka@wp bear , a bicka@wp bicka@wp bear .",Naima,95.581,101.853,[],[1|3|QUANT] [2|3|DET] [3|0|INCROOT] [4|7|MOD] [5|7|MOD] [6|7|MOD] [7|3|PRED 8|7|LP] [9|7|ENUM] [10|11|MOD] [11|9|OBJ 12|11|LP] [13|16|DET] [14|16|MOD] [15|16|MOD] [16|11|ENUM 17|16|LP] [18|19|DET] [19|16|XMOD] [20|21|MOD] [21|19|APP 22|3|PUNCT],[qn|no] [det:art|a] [wplay|bicka] [wplay|bicka] [n|bear] [wplay|bicka] [n|bear cm|cm] [wplay|bicka] [wplay|bicka] [n|bear cm|cm] [det:art|a] [wplay|bicka] [wplay|bicka] [n|bear cm|cm] [det:art|a] [wplay|bicka] [wplay|bicka] [n|bear .],,,,,,,,,,NaimaofNaima_Naima020411_48
49,Mother,Naima020411,"where's the cheese , here it is .",Naima,101.853,104.0,[],[1|2|LINK 2|0|ROOT] [3|4|DET] [4|8|SUBJ 5|4|LP] [6|8|JCT] [7|8|SUBJ] [8|2|PRED 9|2|PUNCT],[adv:int|where~cop|be&3S] [det:art|the] [n|cheese cm|cm] [adv|here] [pro:per|it] [cop|be&3S .],,,,,,,,,,MotherofNaima_Naima020411_49
50,Naima,Naima020411,the bear says a bicka@wp bicka@wp bear .,Naima,104.0,106.65,[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|7|DET] [5|7|MOD] [6|7|MOD] [7|3|OBJ 8|3|PUNCT],[det:art|the] [n|bear] [v|say-3S] [det:art|a] [wplay|bicka] [wplay|bicka] [n|bear .],,,,,,,,,,NaimaofNaima_Naima020411_50
51,Naima,Naima020411,"yyy , xxx .",Naima,106.65,108.69,[],[1|0|INCROOT] [2|1|PUNCT],[cm|cm] [.],,,,,,,,,,NaimaofNaima_Naima020411_51
52,Mother,Naima020411,"oh , what a rawring@o bear .",Naima,108.69,110.29,[],[1|6|COM 2|1|LP] [3|6|MOD] [4|6|DET] [5|6|MOD] [6|0|ROOT 7|6|PUNCT],[co|oh cm|cm] [pro:int|what] [det:art|a] [on|rawring] [n|bear .],,,,,,,,,,MotherofNaima_Naima020411_52
53,Naima,Naima020411,xxx .,Naima,110.29,112.4,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_53
54,Mother,Naima020411,"that's quite a rawr@o , Naima .",Naima,112.403,114.055,[],[1|2|SUBJ 2|0|ROOT] [3|5|JCT] [4|5|DET] [5|2|PRED 6|5|LP] [7|5|ENUM 8|2|PUNCT],[pro:dem|that~cop|be&3S] [adv|quite] [det:art|a] [on|rawr cm|cm] [n:prop|Naima .],,,,,,,,,,MotherofNaima_Naima020411_54
55,Naima,Naima020411,xxx .,Naima,114.055,115.04,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_55
56,Mother,Naima020411,that's quite a roar .,Naima,115.04,117.255,[],[1|2|SUBJ 2|0|ROOT] [3|5|JCT] [4|5|DET] [5|2|PRED 6|2|PUNCT],[pro:dem|that~cop|be&3S] [adv|quite] [det:art|a] [n|roar .],,,,,,,,,,MotherofNaima_Naima020411_56
57,Naima,Naima020411,xxx .,Naima,0.0,0.0,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_57
58,Naima,Naima020411,"yyy { the (?) } , bear doesn't like the bear food .",Naima,117.255,121.608,[],[] [1|3|DET 2|1|LP] [3|0|INCROOT] [4|6|AUX 5|4|NEG] [6|3|NJCT] [7|9|DET] [8|9|MOD] [9|6|POBJ 10|3|PUNCT],[] [det:art|the cm|cm] [n|bear] [mod|do&3S~neg|not] [prep|like] [det:art|the] [n|bear] [n|food .],,,,,,,,,,NaimaofNaima_Naima020411_58
59,Mother,Naima020411,doesn't like the bear food ?,Naima,121.608,123.0,[],[1|0|INCROOT 2|1|NEG] [3|1|JCT] [4|6|DET] [5|6|MOD] [6|3|POBJ 7|1|PUNCT],[mod|do&3S~neg|not] [prep|like] [det:art|the] [n|bear] [n|food ?],,,,,,,,,,MotherofNaima_Naima020411_59
60,Mother,Naima020411,why not ?,Naima,0.0,0.0,[],[1|0|INCROOT] [2|1|NEG 3|1|PUNCT],[adv:int|why] [neg|not ?],,,,,,,,,,MotherofNaima_Naima020411_60
61,Naima,Naima020411,{ that (?) } .,Naima,123.0,124.04,[],[1|0|INCROOT 2|1|PUNCT],[pro:dem|that .],,,,,,,,,,NaimaofNaima_Naima020411_61
62,Mother,Naima020411,why doesn't the bear like the bear food ?,Naima,124.04,127.01,[],[1|5|LINK] [2|5|AUX 3|2|NEG] [4|5|DET] [5|0|INCROOT] [6|5|JCT] [7|9|DET] [8|9|MOD] [9|6|POBJ 10|5|PUNCT],[adv:int|why] [mod|do&3S~neg|not] [det:art|the] [n|bear] [prep|like] [det:art|the] [n|bear] [n|food ?],,,,,,,,,,MotherofNaima_Naima020411_62
63,Naima,Naima020411,xxx .,Naima,127.01,129.0,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_63
64,Mother,Naima020411,"what , that's cheese , you like cheese .",Naima,129.0,131.353,[],[1|5|LINK 2|1|LP] [3|5|LINK 4|5|AUX] [5|0|ROOT 6|5|LP] [7|9|SUBJ] [8|9|COM] [9|5|ENUM 10|5|PUNCT],[pro:int|what cm|cm] [pro:rel|that~aux|be&3S] [n|cheese cm|cm] [pro:per|you] [co|like] [n|cheese .],,,,,,,,,,MotherofNaima_Naima020411_64
65,Naima,Naima020411,the bear needs yyy { cub (?) } .,Naima,131.353,134.111,there may be an unreleased b as the coda for the final consonant[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [] [4|3|OBJ 5|3|PUNCT],[det:art|the] [n|bear] [v|need-3S] [] [n|cub .],,,,,,,,,,NaimaofNaima_Naima020411_65
66,Naima,Naima020411,"the bear cub needs yyy , a , a smaller piece .",Naima,134.111,139.233,[],[1|3|DET] [2|3|MOD] [3|4|SUBJ] [4|0|ROOT] [5|4|LP] [6|10|DET 7|6|LP] [8|10|DET] [9|10|MOD] [10|4|OBJ 11|4|PUNCT],[det:art|the] [n|bear] [n|cub] [v|need-3S] [cm|cm] [det:art|a cm|cm] [det:art|a] [adj|small-CP] [n|piece .],,,,,,,,,,NaimaofNaima_Naima020411_66
67,Mother,Naima020411,a smaller piece ?,Naima,139.233,140.388,[],[1|3|DET] [2|3|MOD] [3|0|INCROOT 4|3|PUNCT],[det:art|a] [adj|small-CP] [n|piece ?],,,,,,,,,,MotherofNaima_Naima020411_67
68,Mother,Naima020411,dyou (replacement:replacement:did you) say the bear's tummy would like a smaller piece ?,Naima,140.808,144.708,[],[1|0|ROOT 2|3|SUBJ] [3|1|PUNCT] [4|5|DET] [5|3|OBJ 6|5|POSS] [7|5|XMOD] [8|7|INCROOT] [9|8|JCT] [10|12|DET] [11|12|MOD] [12|9|POBJ 13|8|PUNCT],[v|do&PAST pro:per|you] [v|say] [det:art|the] [n|bear~poss|s] [n|tummy] [mod|will&COND] [prep|like] [det:art|a] [adj|small-CP] [n|piece ?],,,,,,,,,,MotherofNaima_Naima020411_68
69,Naima,Naima020411,yeah (replacement:replacement:yes) .,Naima,144.708,146.0,Original Orthography: yea:h[],[1|0|INCROOT 2|1|PUNCT],[co|yes .],,,,,,,,,,NaimaofNaima_Naima020411_69
70,Mother,Naima020411,xxx .,Naima,146.0,146.5,laughing,[],[],,,,,,,,,,MotherofNaima_Naima020411_70
71,Naima,Naima020411,xxx .,Naima,146.5,148.7,[],[],[],,,,,,,,,,NaimaofNaima_Naima020411_71
72,Mother,Naima020411,"here , put that cheese down I'll cut that too .",Naima,148.7,153.796,[],[1|3|JCT 2|1|LP] [3|0|ROOT] [4|5|DET] [5|3|OBJ] [6|3|JCT] [7|9|SUBJ 8|9|AUX] [9|6|POBJ] [10|9|OBJ] [11|10|PQ 12|3|PUNCT],[adv|here cm|cm] [v|put&ZERO] [pro:dem|that] [n|cheese] [prep|down] [pro:sub|I~mod|will] [v|cut&ZERO] [pro:dem|that] [post|too .],,,,,,,,,,MotherofNaima_Naima020411_72
73,Mother,Naima020411,"put it down , I'll cut it .",Naima,153.796,156.101,[],[1|7|LINK] [2|1|OBJ] [3|1|JCT 4|1|LP] [5|7|SUBJ 6|7|AUX] [7|0|ROOT] [8|7|OBJ 9|7|PUNCT],[v|put&ZERO] [pro:per|it] [adv|down cm|cm] [pro:sub|I~mod|will] [v|cut&ZERO] [pro:per|it .],,,,,,,,,,MotherofNaima_Naima020411_73
74,Naima,Naima020411,xxx .,Naima,156.101,163.0,laughing,[],[],,,,,,,,,,NaimaofNaima_Naima020411_74
75,Mother,Naima020411,xxx .,Naima,163.0,165.208,laughing,[],[],,,,,,,,,,MotherofNaima_Naima020411_75
76,Mother,Naima020411,very funny .,Naima,165.208,167.141,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|very] [adj|fun&dn-Y .],,,,,,,,,,MotherofNaima_Naima020411_76
77,Mother,Naima020411,very funny .,Naima,167.141,169.426,[],[1|2|JCT] [2|0|INCROOT 3|2|PUNCT],[adv|very] [adj|fun&dn-Y .],,,,,,,,,,MotherofNaima_Naima020411_77
78,Naima,Naima020411,that's a square .,Naima,169.426,172.8,[],[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED 5|2|PUNCT],[pro:dem|that~cop|be&3S] [det:art|a] [n|square .],,,,,,,,,,NaimaofNaima_Naima020411_78
79,Mother,Naima020411,it's a cheese square .,Naima,172.8,177.7,[],[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED] [5|4|NJCT 6|2|PUNCT],[pro:per|it~cop|be&3S] [det:art|a] [n|cheese] [adv|square .],,,,,,,,,,MotherofNaima_Naima020411_79
80,Naima,Naima020411,"yyy yyy , xxx .",Naima,177.7,186.0,[],[] [1|0|INCROOT] [2|1|PUNCT],[] [cm|cm] [.],,,,,,,,,,NaimaofNaima_Naima020411_80
81,Mother,Naima020411,you have (t:t:trail off),Naima,0.0,0.0,[],[1|2|SUBJ] [2|0|ROOT 3|2|PUNCT],[pro:per|you] [v|have (mt:trail off)],,,,,,,,,,MotherofNaima_Naima020411_81
82,Naima,Naima020411,what shape is a curve ?,Naima,186.0,190.126,[],[1|2|MOD] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|3|PRED 6|3|PUNCT],[pro:int|what] [n|shape] [cop|be&3S] [det:art|a] [n|curve ?],,,,,,,,,,NaimaofNaima_Naima020411_82
83,Mother,Naima020411,what ?,Naima,190.126,191.806,[],[1|0|INCROOT 2|1|PUNCT],[pro:int|what ?],,,,,,,,,,MotherofNaima_Naima020411_83
84,Naima,Naima020411,that shape is a curve .,Naima,191.806,194.455,[],[1|2|DET] [2|3|SUBJ] [3|0|ROOT] [4|5|DET] [5|3|PRED 6|3|PUNCT],[pro:dem|that] [n|shape] [cop|be&3S] [det:art|a] [n|curve .],,,,,,,,,,NaimaofNaima_Naima020411_84
85,Mother,Naima020411,"that's the shape of a curve , oh that piece of cheese ?",Naima,194.455,197.79,[],[1|2|SUBJ 2|0|ROOT] [3|4|DET] [4|2|PRED] [5|4|NJCT] [6|7|DET] [7|5|POBJ 8|4|LP] [9|10|COM] [10|4|XMOD] [11|10|OBJ] [12|11|NJCT] [13|12|POBJ 14|2|PUNCT],[pro:dem|that~cop|be&3S] [det:art|the] [n|shape] [prep|of] [det:art|a] [n|curve cm|cm] [co|oh] [det:dem|that] [n|piece] [prep|of] [n|cheese ?],,,,,,,,,,MotherofNaima_Naima020411_85
86,Naima,Naima020411,that .,Naima,197.79,199.11,[],[1|0|INCROOT 2|1|PUNCT],[pro:dem|that .],,,,,,,,,,NaimaofNaima_Naima020411_86
87,Mother,Naima020411,let's see .,Naima,199.11,200.303,[],[1|0|ROOT 2|1|OBJ] [3|1|XCOMP 4|1|PUNCT],[v|let~pro:obj|us] [v|see .],,,,,,,,,,MotherofNaima_Naima020411_87
88,Mother,Naima020411,yeah it does have a curve you're right .,Naima,200.303,202.911,[],[1|4|COM] [2|4|SUBJ] [3|4|AUX] [4|0|ROOT] [5|6|DET] [6|4|OBJ] [7|9|SUBJ 8|9|AUX] [9|6|CMOD 10|4|PUNCT],[co|yeah] [pro:per|it] [mod|do&3S] [v|have] [det:art|a] [n|curve] [pro:per|you~aux|be&PRES] [n|right .],,,,,,,,,,MotherofNaima_Naima020411_88
89,Mother,Naima020411,curve cheese .,Naima,0.0,0.0,[],[1|2|MOD] [2|0|ROOT 3|2|PUNCT],[n|curve] [n|cheese .],,,,,,,,,,MotherofNaima_Naima020411_89
90,Naima,Naima020411,that yyy .,Naima,202.911,205.518,[],[1|0|INCROOT] [2|1|PUNCT],[pro:dem|that] [.],,,,,,,,,,NaimaofNaima_Naima020411_90
91,Naima,Naima020411,it doesn't rock .,Naima,205.518,209.0,unsure about f[],[1|4|SUBJ] [2|4|AUX 3|2|NEG] [4|0|ROOT 5|4|PUNCT],[pro:per|it] [mod|do&3S~neg|not] [v|rock .],,,,,,,,,,NaimaofNaima_Naima020411_91
