,record,speaker,sessionname,utterances,corpus,age,mlu,morphemes,Situation,SpeechAct,ClauseType,UttGoals,SubQ,SubI,Comments,FollowUp?,ToAdults?,ClauseMarkers,Subject,Object,Topic,UttGoal,ToAdult?,Followup?,MORPHEMES,Verb,Aux,AuxInvert,InitFunction,PreVFunction,PostVFunction,SFP,Function,filename,start,end,dur,utt
29,30,FAT,130202.cha,"来 , 躲 到 里面 . ",Tong,"(1, 7, 18)",1.962162162,co|lai2=come_on cm|cm v|duo3=avoid v:resc|dao4=get post|li3mian4=inside .,,Request/Command,Imperative,Negotiating,,,,0,0,ImpNull,0,1,0,,,,"['co', 'cm', 'v', 'v:resc', 'post', '.']",1,0,0,0,0,0,0,0,130202-FAT-30,73.118,74.056,938,"来 , 躲 到 里面 ."
30,31,FAT,130202.cha,橘黄色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|ju2huang2se4=orange_color sfp|de .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['n', 'sfp', '.']",0,0,0,0,0,0,0,0,130202-FAT-31,74.056,75.706,1650,橘黄色 的 .
31,32,CHI,130202.cha,&o2 xxx .,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-32,75.706,77.762,2056,&o2 xxx .
32,33,MOT,130202.cha,xxx 差 太 大 了 . ,Tong,"(1, 7, 18)",1.962162162,v|cha1=be_short adv|tai4=very adj|da4=great sfp|le .,,Assertion,Declarative,Discussing,,,,0,1,,1,0,0,,,,"['v', 'adv', 'adj', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-MOT-33,77.762,79.98,2218,xxx 差 太 大 了 .
33,34,MOT,130202.cha,我们 叫 橘红色 . ,Tong,"(1, 7, 18)",1.962162162,pro|wo3-PL=I v|jiao4=call n|ju2hong2se4=reddish_orange .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['pro', 'v', 'n', '.']",1,0,0,0,0,0,0,0,130202-MOT-34,79.98,81.793,1813,我们 叫 橘红色 .
34,35,MOT,130202.cha,你 竟然 说 橘黄色 . ,Tong,"(1, 7, 18)",1.962162162,pro|ni3=you adv|jing4ran2=unexpectedly v|shuo1=say n|ju2huang2se4=orange_color .,,Assertion,Declarative,Discussing,,,,1,1,,1,1,0,,,,"['pro', 'adv', 'v', 'n', '.']",1,0,0,1,0,0,0,0,130202-MOT-35,81.901,83.177,1276,你 竟然 说 橘黄色 .
35,36,FAT,130202.cha,这 不 是 橘黄色 啊 ? ,Tong,"(1, 7, 18)",1.962162162,pro|zhe4=this neg|bu4=not v:cop|shi4=is n|ju2huang2se4=orange_color sfp|a1 ?,,Question,Declarative,Discussing,yes,,,0,1,,1,1,0,,,,"['pro', 'neg', 'v:cop', 'n', 'sfp', '?']",0,1,0,0,0,0,1,0,130202-FAT-36,83.177,86.293,3116,这 不 是 橘黄色 啊 ?
36,37,MOT,130202.cha,只 有 橘红 . ,Tong,"(1, 7, 18)",1.962162162,adv|zhi3=only v|you3=have adj|ju2hong2=reddish_orange .,,Assertion,FRAG,Discussing,,,,0,1,,0,0,0,,,,"['adv', 'v', 'adj', '.']",1,0,0,0,1,0,0,0,130202-MOT-37,86.293,87.273,980,只 有 橘红 .
37,38,MOT,130202.cha,橘子 是 红色 的 . ,Tong,"(1, 7, 18)",1.962162162,n|ju2zi=tangerine v:cop|shi4=is n|hong2se4=red_color nom|de .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['n', 'v:cop', 'n', 'nom', '.']",0,1,0,0,0,0,0,0,130202-MOT-38,87.273,88.4,1127,橘子 是 红色 的 .
38,39,FAT,130202.cha,做 梦 啊 . ,Tong,"(1, 7, 18)",1.962162162,v|zuo4=make n|meng4=dream sfp|a1 .,,Exclamative,Exclamative,Meta,,,,0,1,,0,1,0,,,,"['v', 'n', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-39,88.4,89.2,800,做 梦 啊 .
39,40,FAT,130202.cha,orange@s 就 是 橘黄色 的 . ,Tong,"(1, 7, 18)",1.962162162,L2|orange adv|jiu4=just v:cop|shi4=is n|ju2huang2se4=orange_color nom|de .,,Assertion,Declarative,Discussing,,,,1,1,,1,1,0,,,,"['L2', 'adv', 'v:cop', 'n', 'nom', '.']",0,1,0,0,0,0,0,0,130202-FAT-40,89.2,90.904,1704,orange@s 就 是 橘黄色 的 .
40,41,MOT,130202.cha,orange@s 是 橘红色 . ,Tong,"(1, 7, 18)",1.962162162,L2|orange v:cop|shi4=is n|ju2hong2se4=reddish_orange .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['L2', 'v:cop', 'n', '.']",0,1,0,0,0,0,0,0,130202-MOT-41,90.904,92.583,1679,orange@s 是 橘红色 .
41,42,FAT,130202.cha,你 自己 查查 字典 看看 . ,Tong,"(1, 7, 18)",1.962162162,pro|ni3=you pro|zi4ji3=self v|cha2&DIM=look_into n|zi4dian3=character_dictionary v|kan4&DIM=look .,,Request/Command,Imperative,Negotiating,,,,0,1,ImpNull,1,1,0,,,,"['pro', 'pro', 'v', 'n', 'v', '.']",1,0,0,0,0,0,0,0,130202-FAT-42,92.183,93.834,1651,你 自己 查查 字典 看看 .
42,43,MOT,130202.cha,你 查 字典 算 了 . ,Tong,"(1, 7, 18)",1.962162162,pro|ni3=you v|cha2=look_into n|zi4dian3=character_dictionary v|suan4=calculate sfp|le .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['pro', 'v', 'n', 'v', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-MOT-43,93.834,94.929,1095,你 查 字典 算 了 .
43,44,FAT,130202.cha,orange@s 是 橘黄色 . ,Tong,"(1, 7, 18)",1.962162162,L2|orange v:cop|shi4=is n|ju2huang2se4=orange_color .,,Assertion,Declarative,Discussing,,,,0,1,,1,1,0,,,,"['L2', 'v:cop', 'n', '.']",0,1,0,0,0,0,0,0,130202-FAT-44,94.929,96.507,1578,orange@s 是 橘黄色 .
44,47,MOT,130202.cha,打 爸爸 . ,Tong,"(1, 7, 18)",1.962162162,v|da3=hit n:relat|ba4&DIM=father .,,Request,Imperative,Negotiating,,,,0,0,,0,1,0,,,,"['v', 'n:relat', '.']",1,0,0,0,0,0,0,0,130202-MOT-47,103.507,105.021,1514,你 别 老 这样 .
45,50,FAT,130202.cha,不 能 打 爸爸 . ,Tong,"(1, 7, 18)",1.962162162,neg|bu4=not v:aux|neng2=can v|da3=hit n:relat|ba4&DIM=father .,,Request/Command,Imperative,Negotiating,,,,1,0,ImpBeng,0,1,0,,,,"['neg', 'v:aux', 'v', 'n:relat', '.']",1,1,0,0,0,0,0,0,130202-FAT-50,108.935,110.78,1845,不 能 打 爸爸 .
46,51,FAT,130202.cha,打 爸爸 疼 啊 . ,Tong,"(1, 7, 18)",1.962162162,v|da3=hit n:relat|ba4&DIM=father v|teng2=hurt sfp|a1 .,,Assertion,Declarative,Discussing,,,,0,0,,0,1,0,,,,"['v', 'n:relat', 'v', 'sfp', '.']",1,0,0,0,0,0,1,0,130202-FAT-51,110.78,111.708,928,打 爸爸 疼 啊 .
47,52,FAT,130202.cha,懂 吗 ? ,Tong,"(1, 7, 18)",1.962162162,v|dong3=understand sfp|ma ?,,Question,Interrogative,Meta,no,Polar,,1,0,IntMa,0,0,0,,,,"['v', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-52,111.708,112.949,1241,懂 吗 ?
48,53,FAT,130202.cha,"同同 , 爸爸 教 你 说 这 个 . ",Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong cm|cm n:relat|ba4&DIM=father v|jiao1=teach pro|ni3=you v|shuo1=say pro|zhe4=this cl|ge4 .,,Assertion,Declarative,Meta,,,,0,0,,1,1,0,,,,"['n:name', 'cm', 'n:relat', 'v', 'pro', 'v', 'pro', 'cl', '.']",1,0,0,0,0,0,0,0,130202-FAT-53,112.949,118.63,5681,"同同 , 爸爸 教 你 说 这 个 ."
49,54,FAT,130202.cha,这 个 叫 car@s . ,Tong,"(1, 7, 18)",1.962162162,pro|zhe4=this cl|ge4 v|jiao4=call L2|car .,,Assertion,Declarative,Teaching,,,,1,0,,1,1,0,,,,"['pro', 'cl', 'v', 'L2', '.']",1,0,0,0,0,0,0,0,130202-FAT-54,118.63,119.719,1089,这 个 叫 car@s .
50,55,FAT,130202.cha,car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-55,119.719,121.946,2227,car@s .
51,56,FAT,130202.cha,懂 吗 ? ,Tong,"(1, 7, 18)",1.962162162,v|dong3=understand sfp|ma ?,,Question,Interrogative,Meta,no,Polar,,1,0,IntMa,0,0,0,,,,"['v', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-56,121.946,124.048,2102,懂 吗 ?
52,57,FAT,130202.cha,爸爸 教 你 说 英语 car@s . ,Tong,"(1, 7, 18)",1.962162162,n:relat|ba4&DIM=father v|jiao1=teach pro|ni3=you v|shuo1=say n|ying1yu3=English L2|car .,,Assertion,Declarative,Teaching,,,,1,0,,1,1,0,,,,"['n:relat', 'v', 'pro', 'v', 'n', 'L2', '.']",1,0,0,0,0,0,0,0,130202-FAT-57,124.048,126.131,2083,爸爸 教 你 说 英语  car@s .
53,58,FAT,130202.cha,red@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|red L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-58,126.131,129.836,3705,red@s car@s .
54,59,FAT,130202.cha,同同 说 red@s car@s . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|shuo1=say L2|red L2|car .,,Request/Command,Declarative,Negotiating,,,,1,0,ImpNull,1,1,0,,,,"['n:name', 'v', 'L2', 'L2', '.']",1,0,0,0,0,0,0,0,130202-FAT-59,129.836,132.014,2178,同同 说 red@s car@s .
55,60,FAT,130202.cha,orange@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-60,132.014,135.12,3106,orange@s car@s .
56,61,CHI,130202.cha,&orin@s . ,Tong,"(1, 7, 18)",1.962162162,,,,,,,,,0,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-61,135.12,136.462,1342,&orin@s .
57,62,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-62,136.462,138.039,1577,blue@s car@s .
58,63,FAT,130202.cha,red@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|red L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-63,138.039,140.248,2209,red@s car@s .
59,64,FAT,130202.cha,orange@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-64,140.248,142.894,2646,orange@s car@s .
60,65,CHI,130202.cha,"+"" &wai2jo3 &ka .",Tong,"(1, 7, 18)",1.962162162,,,,,,,,,1,0,,0,0,0,,,,['0'],0,0,0,0,0,0,0,0,130202-CHI-65,142.894,145.636,2742,"+"" &wai2jo3 &ka ."
61,66,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-66,145.636,146.863,1227,blue@s car@s .
62,67,FAT,130202.cha,同同 说 blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|shuo1=say L2|blue L2|car .,,Assertion,Declarative,Teaching,,,,1,0,,1,1,0,,,,"['n:name', 'v', 'L2', 'L2', '.']",1,0,0,0,0,0,0,0,130202-FAT-67,146.863,148.98,2117,同同 说 blue@s car@s .
63,68,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-68,148.98,150.737,1757,blue@s car@s .
64,69,FAT,130202.cha,&o orange@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-69,150.737,153.28,2543,&o orange@s car@s .
65,70,FAT,130202.cha,orange@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-70,153.28,155.808,2528,orange@s car@s .
66,71,FAT,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-71,155.808,160.698,4890,orange@s .
67,72,FAT,130202.cha,同同 说 orange@s . ,Tong,"(1, 7, 18)",1.962162162,n:name|tong2tong v|shuo1=say L2|orange .,,Request,Imperative,Teaching,,,,0,0,ImpNull,1,1,0,,,,"['n:name', 'v', 'L2', '.']",1,0,0,0,0,0,0,0,130202-FAT-72,160.698,162.904,2206,同同 说 orange@s .
68,73,FAT,130202.cha,orange@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange .,,Assertion,FRAG,Teaching,,,,0,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-73,162.904,165.585,2681,orange@s .
69,74,CHI,130202.cha,"+"" orange@s . ",Tong,"(1, 7, 18)",1.962162162,L2|orange .,,,,,,,,0,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-CHI-74,165.585,166.58,995,"+"" orange@s ."
70,75,FAT,130202.cha,"哎 , 听 到 了 吗 ? ",Tong,"(1, 7, 18)",1.962162162,co|ai1 cm|cm v|ting1=listen v:resc|dao4=get sfp|le sfp|ma ?,,Question,Interrogative,Meta,no,Polar,,0,1,IntMa,0,0,0,,,,"['co', 'cm', 'v', 'v:resc', 'sfp', 'sfp', '?']",1,0,0,0,0,0,1,0,130202-FAT-75,166.58,169.195,2615,"哎 , 听 到 了 吗 ?"
71,76,MOT,130202.cha,嗯 . ,Tong,"(1, 7, 18)",1.962162162,co|en1=okay .,,Assertion,FRAG,Meta,,,,0,1,,0,0,0,,,,"['co', '.']",0,0,0,0,0,0,0,0,130202-MOT-76,169.195,170.175,980,嗯 .
72,77,FAT,130202.cha,"说 得 多 好 啊 , orange@s . ",Tong,"(1, 7, 18)",1.962162162,v|shuo1=say cpt|de adv|duo1=far_more adj|hao3=good sfp|a1 cm|cm L2|orange .,,Assertion,Declarative,Meta,,,,1,1,,0,0,0,,,,"['v', 'cpt', 'adv', 'adj', 'sfp', 'cm', 'L2', '.']",1,0,0,0,0,0,1,0,130202-FAT-77,170.175,171.732,1557,"说 得 多 好 啊 , orange@s ."
73,78,FAT,130202.cha,blue@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-78,171.732,174.408,2676,blue@s .
74,79,FAT,130202.cha,blue@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-79,174.408,176.23,1822,blue@s .
75,80,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-80,176.23,179.001,2771,blue@s car@s .
76,81,FAT,130202.cha,blue@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|blue L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-81,179.001,183.202,4201,blue@s car@s .
77,82,FAT,130202.cha,orange@s car@s . ,Tong,"(1, 7, 18)",1.962162162,L2|orange L2|car .,,Assertion,FRAG,Teaching,,,,1,0,,0,0,0,,,,"['L2', 'L2', '.']",0,0,0,0,0,0,0,0,130202-FAT-82,183.202,186.905,3703,orange@s car@s .
